# https://github.com/saultyevil/python/tree/tde
# Python Version 84a
# Git commit hash 81e7e8f31e9f3e2af2768c454dc243359ba14890
# Date	Sat Dec  7 17:20:59 2019

# Units: flambda spectrum (erg/s/cm^-2/A) at 100.0 parsecs

# Central_object.mass(msol)                     5e7
# Central_object.radius(cm)                     2.65e13
# Disk.mdot(msol/yr)                            1e-2
# Disk.radmax(cm)                               1e15
# Wind.mdot(msol/yr)                            1.0000e-02
# SV.diskmin(units_of_rstar)                    1
# SV.diskmax(units_of_rstar)                    30
# SV.thetamin(deg)                              20
# SV.thetamax(deg)                              65
# SV.mdot_r_exponent                            0
# SV.v_infinity(in_units_of_vescape             1
# SV.acceleration_length(cm)                    5e16
# SV.acceleration_exponent                      1.5
# SV.v_zero_mode(fixed,sound_speed)             sound_speed
# SV.v_zero(multiple_of_sound_speed)            1
# SV.gamma(streamline_skew;1=usually)           1.0
# Wind.radmax(cm)                               5e17
# Wind.filling_factor(1=smooth,<1=clumped)      1

Freq.                Lambda               10                   30                   45                   60                   75                   85                   
457093600000000.0    6558.667             0.0011827            0.00083814           0.00054412           0.00038778           0.00036208           0.00036526          
460061600000000.0    6516.356             0.0011445            0.00084959           0.0005675            0.00039947           0.00036699           0.0003584           
463029500000000.0    6474.587             0.0011321            0.00088147           0.0006001            0.00041073           0.00037654           0.00035649          
465997500000000.0    6433.35              0.001181             0.00092104           0.00061894           0.00043124           0.00035934           0.00034357          
468965400000000.0    6392.636             0.0011655            0.00093251           0.00061959           0.00041784           0.00040712           0.0003812           
471933400000000.0    6352.433             0.001181             0.00093611           0.00060211           0.00042095           0.00038911           0.00038802          
474901300000000.0    6312.733             0.0012607            0.00093752           0.00063519           0.00045448           0.00037629           0.00038019          
477869300000000.0    6273.526             0.0012918            0.00090762           0.00065311           0.00044281           0.00040869           0.00039962          
480837200000000.0    6234.803             0.0012777            0.00094092           0.00066226           0.00046587           0.00042161           0.00041288          
483805100000000.0    6196.555             0.0013216            0.00098653           0.00065858           0.00046529           0.00043399           0.00042144          
486773100000000.0    6158.773             0.0013785            0.0010576            0.00066075           0.00046638           0.00043154           0.00042642          
489741000000000.0    6121.449             0.0013643            0.0010105            0.00067447           0.00049477           0.00043606           0.00041926          
492709000000000.0    6084.576             0.0013781            0.0010003            0.00070636           0.00047915           0.00044989           0.00044492          
495676900000000.0    6048.143             0.0014356            0.0010753            0.00070704           0.00048202           0.00044541           0.00043504          
498644900000000.0    6012.144             0.0014185            0.0010866            0.00070418           0.0005137            0.00046195           0.00044299          
501612800000000.0    5976.572             0.0014811            0.001088             0.00074198           0.00052612           0.00047588           0.00045787          
504580800000000.0    5941.418             0.0015661            0.0011592            0.00075575           0.00052692           0.00045177           0.00042893          
